contig	start	end	covergage_abs	coverage_norm
CP020123.1_contig1	0	30000	173	2.05952
CP020123.1_contig1	10000	40000	173	2.05952
CP020123.1_contig1	20000	50000	133	1.58333
CP020123.1_contig1	30000	60000	132	1.57143
CP020123.1_contig1	40000	70000	133	1.58333
CP020123.1_contig1	50000	80000	133	1.58333
CP020123.1_contig1	60000	90000	125	1.4881
CP020123.1_contig1	70000	100000	119	1.41667
CP020123.1_contig1	80000	110000	119	1.41667
CP020123.1_contig1	90000	120000	121	1.44048
CP020123.1_contig1	100000	130000	124	1.47619
CP020123.1_contig1	110000	140000	129	1.53571
CP020123.1_contig1	120000	150000	133	1.58333
CP020123.1_contig1	130000	160000	137	1.63095
CP020123.1_contig1	140000	170000	138	1.64286
CP020123.1_contig1	150000	180000	133	1.58333
CP020123.1_contig1	160000	190000	133	1.58333
CP020123.1_contig1	170000	200000	141	1.67857
CP020123.1_contig1	180000	210000	175	2.08333
CP020123.1_contig1	190000	219929	183	2.17857
CP020123.1_contig1	200000	219929	186	2.21429
CP020123.1_contig1	210000	219929	173	2.05952
CP020124.1_contig1	0	30000	149	1.77381
CP020124.1_contig1	10000	40000	140	1.66667
CP020124.1_contig1	20000	50000	125	1.4881
CP020124.1_contig1	30000	60000	107	1.27381
CP020124.1_contig1	40000	70000	107	1.27381
CP020124.1_contig1	50000	80000	118	1.40476
CP020124.1_contig1	60000	90000	119	1.41667
CP020124.1_contig1	70000	100000	120	1.42857
CP020124.1_contig1	80000	110000	115	1.36905
CP020124.1_contig1	90000	120000	114	1.35714
CP020124.1_contig1	100000	130000	113	1.34524
CP020124.1_contig1	110000	140000	111	1.32143
CP020124.1_contig1	120000	150000	102	1.21429
CP020124.1_contig1	130000	160000	94	1.11905
CP020124.1_contig1	140000	170000	88	1.04762
CP020124.1_contig1	150000	180000	82	0.97619
CP020124.1_contig1	160000	190000	79	0.940476
CP020124.1_contig1	170000	200000	77	0.916667
CP020124.1_contig1	180000	210000	74	0.880952
CP020124.1_contig1	190000	220000	74	0.880952
CP020124.1_contig1	200000	230000	77	0.916667
CP020124.1_contig1	210000	240000	83	0.988095
CP020124.1_contig1	220000	250000	85	1.0119
CP020124.1_contig1	230000	260000	81	0.964286
CP020124.1_contig1	240000	270000	77	0.916667
CP020124.1_contig1	250000	280000	75	0.892857
CP020124.1_contig1	260000	290000	74	0.880952
CP020124.1_contig1	270000	300000	74	0.880952
CP020124.1_contig1	280000	310000	75	0.892857
CP020124.1_contig1	290000	320000	77	0.916667
CP020124.1_contig1	300000	330000	78	0.928571
CP020124.1_contig1	310000	340000	77	0.916667
CP020124.1_contig1	320000	350000	76	0.904762
CP020124.1_contig1	330000	360000	76	0.904762
CP020124.1_contig1	340000	370000	77	0.916667
CP020124.1_contig1	350000	380000	81	0.964286
CP020124.1_contig1	360000	390000	84	1
CP020124.1_contig1	370000	400000	84	1
CP020124.1_contig1	380000	410000	85	1.0119
CP020124.1_contig1	390000	420000	84	1
CP020124.1_contig1	400000	430000	85	1.0119
CP020124.1_contig1	410000	440000	86	1.02381
CP020124.1_contig1	420000	450000	86	1.02381
CP020124.1_contig1	430000	460000	85	1.0119
CP020124.1_contig1	440000	470000	82	0.97619
CP020124.1_contig1	450000	480000	77	0.916667
CP020124.1_contig1	460000	490000	76	0.904762
CP020124.1_contig1	470000	500000	77	0.916667
CP020124.1_contig1	480000	510000	85	1.0119
CP020124.1_contig1	490000	520000	89	1.05952
CP020124.1_contig1	500000	530000	88	1.04762
CP020124.1_contig1	510000	540000	92	1.09524
CP020124.1_contig1	520000	550000	94	1.11905
CP020124.1_contig1	530000	560000	96	1.14286
CP020124.1_contig1	540000	570000	94	1.11905
CP020124.1_contig1	550000	580000	90	1.07143
CP020124.1_contig1	560000	590000	88	1.04762
CP020124.1_contig1	570000	600000	86	1.02381
CP020124.1_contig1	580000	610000	77	0.916667
CP020124.1_contig1	590000	620000	75	0.892857
CP020124.1_contig1	600000	630000	74	0.880952
CP020124.1_contig1	610000	640000	75	0.892857
CP020124.1_contig1	620000	650000	83	0.988095
CP020124.1_contig1	630000	660000	86	1.02381
