contig	edge	distance_to_edge	closest_coords	classified
BK006934.2_contig1	beginning	7	7-30	telomeric
BK006934.2_contig1	end	7	562461-562636	telomeric
BK006935.2_contig1	beginning	2	2-50	telomeric
BK006935.2_contig1	end	6	230119-230212	telomeric
BK006936.2_contig1	beginning	NA	NA	absent
BK006936.2_contig1	end	1	813136-813183	telomeric
BK006937.2_contig1	beginning	5	5-362	telomeric
BK006937.2_contig1	end	4	316528-316616	telomeric
BK006938.2_contig1	beginning	5	5-149	telomeric
BK006938.2_contig1	end	NA	NA	absent
BK006939.2_contig1	beginning	NA	NA	absent
BK006939.2_contig1	end	NA	NA	absent
BK006940.2_contig1	beginning	4689	4689-4821	distant
BK006940.2_contig1	end	3	270116-270158	telomeric
BK006941.2_contig1	beginning	2	2-28	telomeric
BK006941.2_contig1	end	NA	NA	absent
BK006942.2_contig1	beginning	5	5-76	telomeric
BK006942.2_contig1	end	5	439819-439883	telomeric
BK006943.2_contig1	beginning	9	9-59	telomeric
BK006943.2_contig1	end	11	745667-745740	telomeric
BK006944.2_contig1	beginning	4	4-65	telomeric
BK006944.2_contig1	end	5	666778-666811	telomeric
BK006945.2_contig1	beginning	9	9-67	telomeric
BK006945.2_contig1	end	NA	NA	absent
BK006946.2_contig1	beginning	8	8-47	telomeric
BK006946.2_contig1	end	9	924330-924422	telomeric
BK006947.3_contig1	beginning	NA	NA	absent
BK006947.3_contig1	end	3	784045-784330	telomeric
BK006948.2_contig1	beginning	5	5-40	telomeric
BK006948.2_contig1	end	NA	NA	absent
BK006949.2_contig1	beginning	NA	NA	absent
BK006949.2_contig1	end	NA	NA	absent
